label,description
0,Regional Campaign Coordinator
0,Small business owner
1,"Doctor of Pharmacy, UofT Class of 2020"
0,are you an iPhone update because not now
5,"Medical student at UFMG  | future psychiatrist | Undergradute Researcher at NAVES,  tweets are my own"
0,Travel World News Science Food History Southern Ontario Canadian Politics Official Accounts Food
0,daughter of Joe & Kim  public servant  MBA in community economic development  lover of photography  advocate for social change
0,The Voice of the silent Majority  Supporter of BarackObama
0,"Mayor, community builder, extrovert, auntie. sheher."
5,International Baccalaureate. Author. Hockey Nut. Flamenco Guitarist. Research Scientist. Consultant Psychiatrist. Hip/Hop Music Producer. Doctor of Medicine.
5,"A psychiatrist, a biostatistician, and vegan gay cycling enthusiast...."
0,Barrister and Solicitor
0,Stand in the place where you live.
0,Opinions expressed are strictly mine and not representative of any business or personal associations. I hate what I don’t like!
2,"Lover of God, she is simple, and loves to smile as a nurse"
4,Syrian pharmacist. graduated from university of jordan
0,Comedy World News Animals Health & Fitness Saskatchewan News
5,Psychiatrist for Humans.
0,UofG Honours Bachelor of Science '20
0,Bet it's 2020 vision till that 40 hit you
0,Interior designer and home staging
2,Nice and wise and proud to be serving as a nurse
2,Nurse
2,"Husband, father, Tesla enthusiast and a nurse"
4,"Pharmacist, UWaterloo Grad and Health Advocate."
0,"You should never regret anything in life. If it’s good, it’s wonderful. If it’s bad, it is experience."
3,Neurosurgeon Inventor Engineering Professor
0,"Durham Connection and Headquarters for local sports teams, stories, events and upcoming home games .Health and fitness updates and so much more!!!"
2,"Feminist, atheist, Registered Nurse. Where are we going & why are we in this hand basket?"
0,Kingston's largest martial arts facility! Come visit us in the west end at 2777 Princess St. and come see what it is like to train with the best!
2,"I do not know  what to write here. Basically an aspiring writer, dedicated mom and nurse to two wonderful boys and to be honest, just trying live life with a smile"
5,Geriatric Psychiatrist at Trillium Health Partners
0,Writer. Empath. Full of Shakti.nI'm one of those damn Liberals your Conservative uncle is always railing against.
0,"Sharing “Heart Thoughts” from my Faith journals,  as I walk the path of chronic illness. God’s Grace is my strength throughout this journey of ‘my life’. "
0,Federal Investigator-(Canada). The maker of many and I mean many Kidney stones. A fan of bike riding and Positive Politics. Views mine.
3,"Project Manager, The Royal College of Physicians and Surgeons of Canada. All views are mine."
4,"Pharmacist, coach, Co-owner @HoweSoundPharmacy, co-founder & Chief Clinical Officer @AdhereRx, passionate advocate for better patient care/ #MedicationAdherence"
0,"Farming along side my husband for over 30 years. Blood sweat and tears, but working with my best friend and lover was worth every drop."
0,"We give latest scholarship opportunities from across the globe, ranging from fully funded local and international scholarship opportunities to study grants."
0,"What’s up Twitter, it’s your favorite Canadian Prime Minister here! Remember kids, this is the ONE time you can stay out of school! "
0,It's just a paragraph.. I posted it here. But I sent a copy to you solely for academic interpretative review.. 🙄
3,"Neurosurgeon,Msd,MRCS,MD"
0,Specialization: Procrastination. World is full of critics and Naysayers be an encourager💪
